SecurityLogID,RestrictedItemFound
SE12454,Sharp object
SE12454,Lighter
SE12455,Sharp object
SE12455,Lighter
SE12455,Knife
SE12464,Battery pack
SE12473,Sharp object
SE12490,Aerosol can
SE12490,Battery pack
SE12500,Lighter
SE12500,Aerosol can
SE12500,Battery pack
SE12521,Battery pack
SE12521,Sharp object
SE12521,Liquid over 100ml
SE12522,Liquid over 100ml
SE12522,Aerosol can
SE12526,Aerosol can
SE12526,Lighter
SE12532,Battery pack
SE12532,Sharp object
SE12532,Liquid over 100ml
SE12550,Battery pack
SE12550,Aerosol can
SE12550,Knife
SE12559,Battery pack
SE12559,Lighter
SE12570,Sharp object
SE12579,Lighter
SE12579,Liquid over 100ml
SE12585,Aerosol can
SE12586,Liquid over 100ml
SE12586,Battery pack
SE12586,Lighter
SE12594,Sharp object
SE12594,Knife
SE12602,Sharp object
SE12614,Lighter
SE12619,Sharp object
SE12619,Battery pack
SE12619,Knife
SE12625,Lighter
SE12625,Battery pack
SE12630,Lighter
SE12658,Lighter
SE12659,Aerosol can
SE12669,Lighter
SE12669,Battery pack
SE12669,Aerosol can
SE12672,Battery pack
SE12677,Sharp object
SE12677,Lighter
SE12677,Battery pack
SE12691,Battery pack
SE12691,Knife
SE12691,Sharp object
SE12698,Knife
SE12698,Aerosol can
SE12714,Battery pack
SE12730,Lighter
SE12737,Aerosol can
SE12743,Battery pack
SE12743,Knife
SE12753,Battery pack
SE12753,Knife
SE12756,Aerosol can
SE12756,Lighter
SE12756,Liquid over 100ml
SE12771,Battery pack
SE12771,Knife
SE12771,Aerosol can
SE12797,Sharp object
SE12797,Liquid over 100ml
SE12811,Sharp object
SE12811,Liquid over 100ml
SE12811,Knife
SE12822,Sharp object
SE12822,Knife
SE12838,Liquid over 100ml
SE12847,Battery pack
SE12847,Lighter
SE12847,Aerosol can
SE12857,Battery pack
SE12876,Sharp object
SE12876,Knife
SE12879,Lighter
SE12879,Aerosol can
SE12879,Knife
SE12888,Aerosol can
SE12888,Knife
SE12888,Sharp object
SE12926,Sharp object
SE12926,Knife
SE12926,Aerosol can
SE12932,Battery pack
SE12932,Sharp object
SE12941,Lighter
SE12941,Liquid over 100ml
SE12941,Aerosol can
SE12963,Liquid over 100ml
SE12964,Aerosol can
SE12964,Liquid over 100ml
SE12964,Battery pack
SE12997,Lighter
SE13002,Knife
SE13019,Aerosol can
SE13019,Knife
SE13023,Sharp object
SE13024,Liquid over 100ml
SE13024,Battery pack
SE13048,Battery pack
SE13048,Sharp object
SE13049,Battery pack
SE13049,Knife
SE13049,Lighter
SE13062,Liquid over 100ml
SE13068,Aerosol can
SE13068,Lighter
SE13068,Liquid over 100ml
SE13081,Sharp object
SE13081,Battery pack
SE13084,Knife
SE13084,Battery pack
SE13098,Aerosol can
SE13102,Liquid over 100ml
SE13102,Sharp object
SE13113,Liquid over 100ml
SE13113,Sharp object
SE13113,Knife
SE13116,Lighter
SE13116,Liquid over 100ml
SE13126,Knife
SE13126,Sharp object
SE13126,Liquid over 100ml
SE13128,Liquid over 100ml
SE13128,Lighter
SE13128,Aerosol can
SE13136,Knife
SE13136,Sharp object
SE13136,Aerosol can
SE13141,Liquid over 100ml
SE13157,Aerosol can
SE13157,Knife
SE13162,Liquid over 100ml
SE13162,Sharp object
SE13167,Lighter
SE13169,Sharp object
SE13172,Liquid over 100ml
SE13179,Liquid over 100ml
SE13179,Knife
SE13179,Battery pack
SE13192,Sharp object
SE13202,Battery pack
SE13202,Liquid over 100ml
SE13205,Sharp object
SE13223,Aerosol can
SE13263,Liquid over 100ml
SE13268,Aerosol can
SE13292,Liquid over 100ml
SE13292,Sharp object
SE13294,Knife
SE13294,Lighter
SE13298,Knife
SE13305,Liquid over 100ml
SE13313,Sharp object
SE13313,Aerosol can
SE13313,Lighter
SE13315,Sharp object
SE13315,Aerosol can
SE13315,Knife
SE13318,Lighter
SE13318,Aerosol can
SE13321,Lighter
SE13324,Knife
SE13324,Liquid over 100ml
SE13324,Lighter
SE13329,Liquid over 100ml
SE13329,Battery pack
SE13329,Lighter
SE13334,Lighter
SE13334,Liquid over 100ml
SE13335,Liquid over 100ml
SE13335,Aerosol can
SE13337,Sharp object
SE13337,Liquid over 100ml
SE13337,Battery pack
SE13353,Aerosol can
SE13368,Aerosol can
SE13368,Battery pack
SE13399,Liquid over 100ml
SE13399,Battery pack
SE13399,Lighter
SE13411,Lighter
SE13411,Liquid over 100ml
SE13411,Battery pack
SE13424,Knife
SE13424,Aerosol can
SE13425,Sharp object
SE13425,Liquid over 100ml
SE13425,Knife
SE13437,Lighter
SE13437,Liquid over 100ml
SE13447,Liquid over 100ml
SE13447,Aerosol can
SE13447,Knife
SE13457,Aerosol can
SE13468,Aerosol can
SE13471,Lighter
SE13471,Aerosol can
SE13471,Liquid over 100ml
SE13485,Sharp object
SE13485,Battery pack
SE13495,Sharp object
SE13498,Lighter
SE13498,Sharp object
SE13498,Aerosol can
SE13499,Knife
SE13503,Knife
SE13503,Liquid over 100ml
SE13535,Lighter
SE13543,Battery pack
SE13543,Lighter
SE13548,Battery pack
SE13551,Battery pack
SE13568,Liquid over 100ml
SE13572,Sharp object
SE13572,Aerosol can
SE13581,Liquid over 100ml
SE13584,Battery pack
SE13586,Sharp object
SE13587,Battery pack
SE13595,Liquid over 100ml
SE13595,Knife
SE13595,Lighter
SE13635,Aerosol can
SE13660,Liquid over 100ml
SE13660,Battery pack
SE13660,Lighter
SE13664,Battery pack
SE13672,Knife
SE13672,Sharp object
SE13672,Liquid over 100ml
SE13673,Aerosol can
SE13673,Battery pack
SE13673,Liquid over 100ml
SE13676,Knife
SE13676,Lighter
SE13686,Lighter
SE13686,Knife
SE13686,Battery pack
SE13696,Liquid over 100ml
SE13696,Battery pack
SE13700,Liquid over 100ml
SE13700,Lighter
SE13700,Aerosol can
SE13706,Lighter
SE13706,Battery pack
SE13706,Aerosol can
SE13707,Knife
SE13710,Battery pack
SE13710,Lighter
SE13710,Aerosol can
SE13712,Knife
SE13712,Battery pack
SE13712,Lighter
SE13726,Battery pack
SE13726,Liquid over 100ml
SE13726,Aerosol can
SE13734,Liquid over 100ml
SE13738,Liquid over 100ml
SE13738,Sharp object
SE13747,Sharp object
SE13747,Battery pack
SE13747,Aerosol can
SE13758,Liquid over 100ml
SE13758,Battery pack
SE13758,Sharp object
SE13770,Aerosol can
SE13770,Sharp object
SE13770,Lighter
SE13778,Battery pack
SE13781,Lighter
SE13781,Aerosol can
SE13781,Knife
SE13798,Battery pack
SE13798,Aerosol can
SE13798,Sharp object
SE13816,Knife
SE13816,Liquid over 100ml
SE13817,Battery pack
SE13824,Liquid over 100ml
SE13824,Battery pack
SE13827,Sharp object
SE13827,Aerosol can
SE13838,Sharp object
SE13838,Knife
SE13838,Aerosol can
SE13839,Sharp object
SE13842,Liquid over 100ml
SE13842,Lighter
SE13842,Knife
SE13866,Aerosol can
SE13866,Knife
SE13866,Lighter
SE13868,Lighter
SE13868,Aerosol can
SE13875,Liquid over 100ml
SE13875,Knife
SE13875,Battery pack
SE13882,Lighter
SE13882,Aerosol can
SE13882,Battery pack
SE13884,Aerosol can
SE13884,Liquid over 100ml
SE13890,Aerosol can
SE13912,Aerosol can
SE13912,Liquid over 100ml
SE13912,Lighter
SE13913,Sharp object
SE13913,Battery pack
SE13913,Lighter
SE13922,Liquid over 100ml
SE13922,Battery pack
SE13922,Sharp object
SE13932,Lighter
SE13932,Battery pack
SE13932,Knife
SE13944,Liquid over 100ml
SE13944,Aerosol can
SE13944,Sharp object
SE13960,Liquid over 100ml
SE13960,Sharp object
SE13965,Sharp object
SE13965,Knife
SE13965,Liquid over 100ml
SE13969,Knife
SE13969,Aerosol can
SE13970,Sharp object
SE13970,Knife
SE13973,Sharp object
SE13973,Liquid over 100ml
SE13973,Aerosol can
SE13981,Sharp object
SE14033,Battery pack
SE14064,Battery pack
SE14064,Aerosol can
SE14064,Liquid over 100ml
SE14071,Knife
SE14071,Liquid over 100ml
SE14071,Aerosol can
SE14072,Sharp object
SE14072,Liquid over 100ml
SE14076,Liquid over 100ml
SE14076,Lighter
SE14077,Sharp object
SE14077,Battery pack
SE14079,Knife
SE14079,Aerosol can
SE14079,Liquid over 100ml
SE14084,Knife
SE14087,Sharp object
SE14087,Liquid over 100ml
SE14087,Knife
SE14089,Battery pack
SE14089,Liquid over 100ml
SE14100,Aerosol can
SE14100,Liquid over 100ml
SE14106,Lighter
SE14113,Sharp object
SE14113,Aerosol can
SE14113,Battery pack
SE14115,Battery pack
SE14115,Knife
SE14119,Sharp object
SE14119,Battery pack
SE14119,Liquid over 100ml
SE14126,Battery pack
SE14126,Aerosol can
SE14126,Sharp object
SE14130,Sharp object
SE14130,Lighter
SE14130,Battery pack
SE14132,Liquid over 100ml
SE14143,Lighter
SE14143,Knife
SE14143,Liquid over 100ml
SE14151,Aerosol can
SE14152,Sharp object
SE14152,Liquid over 100ml
SE14152,Knife
SE14154,Knife
SE14154,Liquid over 100ml
SE14163,Aerosol can
SE14194,Sharp object
SE14194,Lighter
SE14194,Aerosol can
SE14208,Sharp object
SE14208,Knife
SE14208,Lighter
SE14212,Battery pack
SE14221,Knife
SE14221,Battery pack
SE14222,Battery pack
SE14222,Lighter
SE14222,Liquid over 100ml
SE14241,Lighter
SE14241,Aerosol can
SE14248,Battery pack
SE14248,Sharp object
SE14250,Liquid over 100ml
SE14257,Liquid over 100ml
SE14257,Aerosol can
SE14261,Battery pack
SE14261,Sharp object
SE14264,Knife
SE14264,Sharp object
SE14264,Liquid over 100ml
SE14265,Knife
SE14265,Sharp object
SE14279,Liquid over 100ml
SE14279,Aerosol can
SE14279,Battery pack
SE14288,Battery pack
SE14288,Aerosol can
SE14295,Sharp object
SE14295,Lighter
SE14295,Knife
SE14300,Aerosol can
SE14309,Aerosol can
SE14309,Battery pack
SE14311,Aerosol can
SE14311,Lighter
SE14311,Sharp object
SE14330,Lighter
SE14330,Aerosol can
SE14330,Liquid over 100ml
SE14335,Liquid over 100ml
SE14335,Knife
SE14335,Aerosol can
SE14342,Knife
SE14355,Sharp object
SE14355,Battery pack
SE14363,Lighter
SE14369,Aerosol can
SE14374,Liquid over 100ml
SE14374,Knife
SE14374,Aerosol can
SE14385,Lighter
SE14385,Battery pack
SE14397,Liquid over 100ml
SE14397,Battery pack
SE14397,Sharp object
SE14404,Aerosol can
SE14404,Lighter
SE14404,Knife
SE14405,Battery pack
SE14422,Liquid over 100ml
SE14429,Aerosol can
SE14429,Knife
SE14433,Lighter
SE14433,Liquid over 100ml
SE14455,Liquid over 100ml
SE14474,Liquid over 100ml
SE14474,Aerosol can
SE14475,Sharp object
SE14476,Aerosol can
SE14476,Sharp object
SE14497,Knife
SE14497,Lighter
SE14516,Aerosol can
SE14516,Sharp object
SE14527,Battery pack
SE14531,Lighter
SE14531,Aerosol can
SE14544,Lighter
SE14544,Knife
SE14544,Liquid over 100ml
SE14570,Battery pack
SE14573,Liquid over 100ml
SE14573,Lighter
SE14573,Battery pack
SE14577,Lighter
SE14577,Battery pack
SE14577,Liquid over 100ml
SE14585,Battery pack
SE14585,Liquid over 100ml
SE14585,Knife
SE14600,Lighter
SE14600,Battery pack
SE14600,Sharp object
SE14610,Knife
SE14610,Lighter
SE14624,Battery pack
SE14626,Lighter
SE14630,Aerosol can
SE14630,Lighter
SE14630,Sharp object
SE14636,Liquid over 100ml
SE14641,Liquid over 100ml
SE14647,Aerosol can
SE14647,Sharp object
SE14647,Lighter
SE14652,Aerosol can
SE14652,Liquid over 100ml
SE14652,Knife
SE14654,Aerosol can
SE14656,Lighter
SE14656,Battery pack
SE14661,Knife
SE14661,Lighter
SE14661,Battery pack
SE14662,Liquid over 100ml
SE14662,Sharp object
SE14664,Liquid over 100ml
SE14664,Aerosol can
SE14665,Battery pack
SE14665,Liquid over 100ml
SE14675,Knife
SE14675,Sharp object
SE14681,Aerosol can
SE14681,Battery pack
SE14698,Knife
SE14699,Aerosol can
SE14702,Liquid over 100ml
SE14702,Lighter
SE14720,Aerosol can
SE14731,Knife
SE14748,Sharp object
SE14748,Liquid over 100ml
SE14748,Battery pack
SE14780,Aerosol can
SE14780,Liquid over 100ml
SE14780,Knife
SE14781,Aerosol can
SE14781,Liquid over 100ml
SE14781,Sharp object
SE14798,Battery pack
SE14798,Knife
SE14798,Aerosol can
SE14802,Knife
SE14805,Knife
SE14805,Aerosol can
SE14805,Lighter
SE14816,Liquid over 100ml
SE14818,Battery pack
SE14818,Lighter
SE14818,Liquid over 100ml
SE14832,Lighter
SE14832,Sharp object
SE14832,Knife
SE14833,Sharp object
SE14833,Lighter
SE14833,Knife
SE14847,Lighter
SE14850,Sharp object
SE14850,Knife
SE14850,Aerosol can
SE14860,Sharp object
SE14860,Knife
SE14860,Lighter
SE14865,Lighter
SE14865,Liquid over 100ml
SE14865,Sharp object
SE14869,Lighter
SE14869,Sharp object
SE14876,Liquid over 100ml
SE14881,Lighter
SE14881,Battery pack
SE14895,Lighter
SE14898,Sharp object
SE14898,Liquid over 100ml
SE14898,Lighter
SE14901,Sharp object
SE14901,Knife
SE14919,Knife
SE14919,Aerosol can
SE14919,Lighter
SE14922,Sharp object
SE14922,Knife
SE14926,Aerosol can
SE14936,Aerosol can
SE14945,Lighter
SE14980,Lighter
SE14980,Liquid over 100ml
SE14980,Battery pack
SE14986,Aerosol can
SE14986,Knife
SE14986,Battery pack
SE15029,Knife
SE15029,Sharp object
SE15038,Liquid over 100ml
SE15038,Aerosol can
SE15038,Battery pack
SE15054,Aerosol can
SE15054,Sharp object
SE15057,Sharp object
SE15057,Knife
SE15057,Liquid over 100ml
SE15081,Sharp object
SE15081,Battery pack
SE15085,Knife
SE15085,Battery pack
SE15085,Aerosol can
SE15094,Battery pack
SE15094,Liquid over 100ml
SE15101,Knife
SE15101,Battery pack
SE15101,Sharp object
SE15104,Knife
SE15104,Aerosol can
SE15111,Aerosol can
SE15123,Knife
SE15123,Lighter
SE15136,Knife
SE15163,Lighter
SE15163,Liquid over 100ml
SE15166,Liquid over 100ml
SE15166,Knife
SE15186,Liquid over 100ml
SE15186,Battery pack
SE15186,Sharp object
SE15192,Knife
SE15192,Sharp object
SE15192,Liquid over 100ml
SE15193,Lighter
SE15229,Battery pack
SE15229,Aerosol can
SE15242,Aerosol can
SE15242,Sharp object
SE15246,Aerosol can
SE15246,Battery pack
SE15246,Liquid over 100ml
SE15255,Knife
SE15255,Aerosol can
SE15255,Sharp object
SE15262,Battery pack
SE15262,Sharp object
SE15262,Knife
SE15267,Battery pack
SE15267,Aerosol can
SE15268,Liquid over 100ml
SE15269,Battery pack
SE15269,Knife
SE15269,Aerosol can
SE15277,Knife
SE15277,Sharp object
SE15283,Battery pack
SE15294,Knife
SE15294,Sharp object
SE15294,Lighter
SE15303,Lighter
SE15303,Knife
SE15307,Knife
SE15307,Battery pack
SE15322,Knife
SE15322,Liquid over 100ml
SE15322,Lighter
SE15333,Liquid over 100ml
SE15333,Battery pack
SE15333,Aerosol can
SE15354,Knife
SE15355,Battery pack
SE15355,Lighter
SE15358,Sharp object
SE15358,Liquid over 100ml
SE15358,Knife
SE15372,Sharp object
SE15372,Aerosol can
SE15375,Lighter
SE15375,Knife
SE15388,Lighter
SE15388,Sharp object
SE15388,Liquid over 100ml
SE15416,Sharp object
SE15477,Battery pack
SE15487,Aerosol can
SE15487,Knife
SE15487,Battery pack
SE15504,Knife
SE15507,Battery pack
SE15507,Lighter
SE15507,Liquid over 100ml
SE15510,Aerosol can
SE15520,Aerosol can
SE15520,Battery pack
SE15520,Liquid over 100ml
SE15529,Knife
SE15529,Liquid over 100ml
SE15529,Sharp object
SE15534,Battery pack
SE15547,Lighter
SE15547,Knife
SE15547,Aerosol can
SE15554,Sharp object
SE15554,Knife
SE15562,Lighter
SE15562,Battery pack
SE15562,Sharp object
SE15582,Sharp object
SE15582,Knife
SE15582,Aerosol can
SE15588,Sharp object
SE15588,Lighter
SE15589,Knife
SE15627,Liquid over 100ml
SE15657,Battery pack
SE15657,Liquid over 100ml
SE15661,Sharp object
SE15661,Liquid over 100ml
SE15669,Aerosol can
SE15682,Battery pack
SE15682,Liquid over 100ml
SE15685,Knife
SE15685,Lighter
SE15716,Battery pack
SE15716,Knife
SE15716,Sharp object
SE15717,Liquid over 100ml
SE15717,Sharp object
SE15717,Aerosol can
SE15718,Knife
SE15718,Lighter
SE15727,Battery pack
SE15727,Aerosol can
SE15729,Lighter
SE15729,Sharp object
SE15731,Lighter
SE15731,Aerosol can
SE15734,Liquid over 100ml
SE15744,Knife
SE15759,Lighter
SE15759,Battery pack
SE15764,Liquid over 100ml
SE15764,Knife
SE15764,Lighter
SE15775,Liquid over 100ml
SE15775,Sharp object
SE15777,Lighter
SE15777,Liquid over 100ml
SE15780,Aerosol can
SE15780,Lighter
SE15788,Sharp object
SE15788,Battery pack
SE15788,Lighter
SE15789,Liquid over 100ml
SE15789,Sharp object
SE15793,Liquid over 100ml
SE15793,Aerosol can
SE15793,Sharp object
SE15796,Sharp object
SE15815,Knife
SE15815,Lighter
SE15819,Battery pack
SE15819,Liquid over 100ml
SE15843,Sharp object
SE15843,Aerosol can
SE15843,Lighter
SE15857,Liquid over 100ml
SE15857,Lighter
SE15866,Liquid over 100ml
SE15866,Aerosol can
SE15868,Battery pack
SE15877,Knife
SE15886,Sharp object
SE15886,Battery pack
SE15886,Knife
SE15895,Lighter
SE15901,Sharp object
SE15901,Battery pack
SE15910,Lighter
SE15916,Liquid over 100ml
SE15916,Aerosol can
SE15916,Sharp object
SE15929,Aerosol can
SE15929,Liquid over 100ml
SE15929,Battery pack
SE15933,Knife
SE15935,Battery pack
SE15935,Aerosol can
SE15935,Knife
SE15942,Lighter
SE15969,Liquid over 100ml
SE15969,Lighter
SE15969,Aerosol can
SE15975,Battery pack
SE15976,Knife
SE15987,Aerosol can
SE15991,Sharp object
SE16004,Aerosol can
SE16004,Liquid over 100ml
SE16004,Lighter
SE16066,Lighter
SE16066,Knife
SE16068,Battery pack
SE16079,Lighter
SE16079,Sharp object
SE16079,Battery pack
SE16081,Knife
SE16081,Lighter
SE16086,Liquid over 100ml
SE16117,Battery pack
SE16117,Lighter
SE16119,Sharp object
SE16119,Aerosol can
SE16119,Liquid over 100ml
SE16124,Battery pack
SE16129,Aerosol can
SE16129,Sharp object
SE16129,Liquid over 100ml
SE16136,Liquid over 100ml
SE16136,Battery pack
SE16136,Lighter
SE16146,Lighter
SE16146,Knife
SE16154,Aerosol can
SE16158,Sharp object
SE16158,Aerosol can
SE16167,Lighter
SE16167,Liquid over 100ml
SE16167,Sharp object
SE16168,Battery pack
SE16168,Aerosol can
SE16168,Sharp object
SE16172,Liquid over 100ml
SE16172,Lighter
SE16172,Aerosol can
SE16203,Battery pack
SE16203,Lighter
SE16203,Sharp object
SE16207,Liquid over 100ml
SE16207,Battery pack
SE16207,Sharp object
SE16234,Aerosol can
SE16234,Liquid over 100ml
SE16234,Battery pack
SE16266,Liquid over 100ml
SE16266,Knife
SE16266,Sharp object
SE16278,Liquid over 100ml
SE16278,Lighter
SE16290,Liquid over 100ml
SE16292,Battery pack
SE16292,Lighter
SE16299,Sharp object
SE16302,Knife
SE16302,Lighter
SE16302,Sharp object
SE16313,Liquid over 100ml
SE16313,Knife
SE16314,Sharp object
SE16314,Lighter
SE16323,Battery pack
SE16323,Sharp object
SE16323,Knife
SE16328,Sharp object
SE16328,Lighter
SE16328,Liquid over 100ml
SE16333,Knife
SE16333,Lighter
SE16333,Battery pack
SE16348,Sharp object
SE16348,Knife
SE16348,Liquid over 100ml
SE16358,Sharp object
SE16366,Lighter
SE16368,Aerosol can
SE16380,Liquid over 100ml
SE16380,Battery pack
SE16380,Sharp object
SE16392,Battery pack
SE16406,Aerosol can
SE16406,Sharp object
SE16413,Sharp object
SE16421,Aerosol can
SE16421,Lighter
SE16421,Sharp object
SE16423,Aerosol can
SE16423,Lighter
SE16428,Knife
SE16428,Battery pack
SE16428,Lighter
SE16453,Knife
SE16460,Battery pack
SE16464,Sharp object
SE16481,Sharp object
SE16503,Liquid over 100ml
SE16503,Aerosol can
SE16513,Lighter
SE16513,Liquid over 100ml
SE16513,Aerosol can
SE16525,Knife
SE16531,Lighter
SE16531,Battery pack
SE16532,Aerosol can
SE16562,Sharp object
SE16562,Battery pack
SE16562,Knife
SE16563,Battery pack
SE16563,Lighter
SE16569,Lighter
SE16582,Lighter
SE16603,Liquid over 100ml
SE16609,Sharp object
SE16617,Knife
SE16617,Liquid over 100ml
SE16617,Lighter
SE16619,Knife
SE16619,Battery pack
SE16626,Liquid over 100ml
SE16626,Battery pack
SE16626,Knife
SE16667,Sharp object
SE16667,Knife
SE16667,Aerosol can
SE16669,Battery pack
SE16669,Lighter
SE16672,Aerosol can
SE16672,Lighter
SE16694,Lighter
SE16694,Aerosol can
SE16694,Knife
SE16695,Sharp object
SE16695,Liquid over 100ml
SE16695,Lighter
SE16724,Liquid over 100ml
SE16724,Sharp object
SE16728,Knife
SE16730,Knife
SE16752,Aerosol can
SE16752,Lighter
SE16761,Sharp object
SE16761,Aerosol can
SE16761,Lighter
SE16763,Lighter
SE16763,Aerosol can
SE16787,Battery pack
SE16787,Knife
SE16787,Lighter
SE16826,Lighter
SE16828,Liquid over 100ml
SE16828,Sharp object
SE16828,Knife
SE16835,Sharp object
SE16835,Lighter
SE16835,Battery pack
SE16840,Lighter
SE16840,Liquid over 100ml
SE16840,Sharp object
SE16846,Battery pack
SE16846,Sharp object
SE16851,Lighter
SE16851,Sharp object
SE16853,Liquid over 100ml
SE16855,Liquid over 100ml
SE16859,Liquid over 100ml
SE16862,Aerosol can
SE16862,Battery pack
SE16886,Knife
SE16887,Sharp object
SE16887,Knife
SE16892,Sharp object
SE16892,Knife
SE16903,Lighter
SE16903,Liquid over 100ml
SE16906,Aerosol can
SE16906,Battery pack
SE16911,Lighter
SE16911,Sharp object
SE16911,Aerosol can
SE16916,Sharp object
SE16916,Lighter
SE16923,Sharp object
SE16923,Liquid over 100ml
SE16923,Knife
SE16925,Sharp object
SE16925,Liquid over 100ml
SE16925,Lighter
SE16930,Battery pack
SE16930,Lighter
SE16934,Aerosol can
SE16939,Aerosol can
SE16944,Aerosol can
SE16944,Knife
SE16945,Aerosol can
SE16945,Battery pack
SE16961,Aerosol can
SE16961,Liquid over 100ml
SE16961,Lighter
SE16979,Knife
SE16999,Lighter
SE16999,Knife
SE16999,Aerosol can
SE17011,Knife
SE17032,Sharp object
SE17039,Aerosol can
SE17039,Battery pack
SE17055,Aerosol can
SE17055,Knife
SE17076,Knife
SE17076,Lighter
SE17084,Sharp object
SE17084,Liquid over 100ml
SE17085,Battery pack
SE17085,Liquid over 100ml
SE17085,Lighter
SE17089,Battery pack
SE17089,Sharp object
SE17108,Battery pack
SE17108,Sharp object
SE17108,Knife
SE17109,Battery pack
SE17109,Lighter
SE17109,Aerosol can
SE17124,Knife
SE17124,Sharp object
SE17124,Liquid over 100ml
SE17130,Lighter
SE17130,Battery pack
SE17130,Liquid over 100ml
SE17139,Lighter
SE17139,Liquid over 100ml
SE17145,Knife
SE17157,Lighter
SE17157,Sharp object
SE17157,Knife
SE17159,Lighter
SE17159,Battery pack
SE17160,Aerosol can
SE17162,Knife
SE17167,Liquid over 100ml
SE17167,Knife
SE17167,Battery pack
SE17187,Sharp object
SE17187,Knife
SE17187,Liquid over 100ml
SE17204,Liquid over 100ml
SE17210,Sharp object
SE17216,Lighter
SE17216,Liquid over 100ml
SE17233,Aerosol can
SE17242,Lighter
SE17259,Sharp object
SE17259,Battery pack
SE17269,Sharp object
SE17279,Liquid over 100ml
SE17282,Battery pack
SE17282,Knife
SE17282,Aerosol can
SE17285,Aerosol can
SE17285,Lighter
SE17285,Sharp object
SE17287,Liquid over 100ml
SE17299,Battery pack
SE17302,Lighter
SE17359,Lighter
SE17377,Liquid over 100ml
SE17377,Aerosol can
SE17377,Battery pack
SE17384,Aerosol can
SE17398,Knife
SE17415,Lighter
SE17415,Knife
SE17418,Aerosol can
SE17431,Lighter
SE17433,Lighter
SE17434,Lighter
SE17434,Battery pack
SE17450,Liquid over 100ml
SE17485,Liquid over 100ml
SE17487,Aerosol can
SE17487,Sharp object
SE17499,Aerosol can
SE17514,Sharp object
SE17514,Knife
SE17518,Lighter
SE17518,Liquid over 100ml
SE17518,Knife
SE17530,Sharp object
SE17530,Battery pack
SE17530,Liquid over 100ml
SE17532,Liquid over 100ml
SE17532,Knife
SE17532,Sharp object
SE17544,Lighter
SE17544,Sharp object
SE17544,Knife
SE17549,Liquid over 100ml
SE17550,Aerosol can
SE17550,Sharp object
SE17550,Battery pack
SE17565,Battery pack
SE17565,Knife
SE17572,Lighter
SE17576,Lighter
SE17576,Knife
SE17576,Sharp object
SE17580,Liquid over 100ml
SE17580,Lighter
SE17580,Battery pack
SE17582,Sharp object
SE17582,Lighter
SE17582,Knife
SE17594,Knife
SE17597,Aerosol can
SE17612,Aerosol can
SE17612,Liquid over 100ml
SE17626,Aerosol can
SE17626,Knife
SE17626,Lighter
SE17629,Battery pack
SE17629,Aerosol can
SE17673,Liquid over 100ml
SE17675,Sharp object
SE17691,Liquid over 100ml
SE17691,Knife
SE17691,Lighter
SE17692,Battery pack
SE17692,Liquid over 100ml
SE17698,Liquid over 100ml
SE17698,Lighter
SE17698,Sharp object
SE17703,Lighter
SE17704,Battery pack
SE17704,Aerosol can
SE17704,Liquid over 100ml
SE17719,Aerosol can
SE17719,Sharp object
SE17719,Lighter
SE17724,Sharp object
SE17724,Liquid over 100ml
SE17724,Lighter
SE17726,Lighter
SE17735,Aerosol can
SE17755,Lighter
SE17755,Liquid over 100ml
SE17755,Sharp object
SE17768,Lighter
SE17768,Liquid over 100ml
SE17768,Battery pack
SE17772,Liquid over 100ml
SE17772,Lighter
SE17778,Liquid over 100ml
SE17778,Battery pack
SE17778,Aerosol can
SE17785,Sharp object
SE17785,Battery pack
SE17785,Aerosol can
SE17791,Aerosol can
SE17801,Knife
SE17801,Sharp object
SE17801,Liquid over 100ml
SE17805,Battery pack
SE17805,Aerosol can
SE17805,Sharp object
SE17811,Lighter
SE17825,Knife
SE17825,Sharp object
SE17827,Battery pack
SE17827,Sharp object
SE17827,Lighter
SE17829,Battery pack
SE17829,Lighter
SE17843,Knife
SE17843,Sharp object
SE17866,Battery pack
SE17866,Lighter
SE17866,Sharp object
SE17867,Knife
SE17867,Liquid over 100ml
SE17870,Liquid over 100ml
SE17870,Battery pack
SE17870,Aerosol can
SE17879,Aerosol can
SE17890,Liquid over 100ml
SE17890,Knife
SE17890,Aerosol can
SE17896,Sharp object
SE17904,Liquid over 100ml
SE17904,Knife
SE17904,Aerosol can
SE17918,Aerosol can
SE17932,Knife
SE17932,Liquid over 100ml
SE17932,Battery pack
SE17937,Liquid over 100ml
SE17942,Knife
SE17942,Battery pack
SE17942,Liquid over 100ml
SE17998,Sharp object
SE17998,Battery pack
SE17998,Lighter
SE18034,Knife
SE18074,Knife
SE18095,Sharp object
SE18095,Aerosol can
SE18095,Lighter
SE18097,Liquid over 100ml
SE18122,Lighter
SE18127,Lighter
SE18138,Battery pack
SE18138,Liquid over 100ml
SE18139,Lighter
SE18139,Knife
SE18139,Liquid over 100ml
SE18145,Lighter
SE18145,Liquid over 100ml
SE18145,Knife
SE18170,Liquid over 100ml
SE18170,Knife
SE18178,Battery pack
SE18178,Knife
SE18206,Lighter
SE18209,Knife
SE18209,Sharp object
SE18209,Aerosol can
SE18213,Battery pack
SE18213,Knife
SE18213,Liquid over 100ml
SE18215,Liquid over 100ml
SE18215,Knife
SE18218,Sharp object
SE18218,Knife
SE18220,Liquid over 100ml
SE18220,Knife
SE18220,Battery pack
SE18224,Liquid over 100ml
SE18238,Battery pack
SE18238,Lighter
