PassengerID,TravelHistory
PA01808,Flew to Taipei on 2025-11-21 (Flight FL00181)
PA01809,Flew to Bangkok on 2025-11-21 (Flight FL00222)
PA01810,Flew to Hong Kong on 2025-11-20 (Flight FL00081)
PA01811,Flew to Hong Kong on 2025-11-21 (Flight FL00274)
PA01812,Flew to Seoul on 2025-11-20 (Flight FL00049)
PA01813,Flew to Singapore on 2025-11-20 (Flight FL00010)
PA01814,Flew to Sydney on 2025-11-20 (Flight FL00114)
PA01815,Flew to London on 2025-11-20 (Flight FL00045)
PA01816,Flew to Paris on 2025-11-21 (Flight FL00346)
PA01817,Flew to Hanoi on 2025-11-19 (Flight FL00009)
PA01818,Flew to Hong Kong on 2025-11-20 (Flight FL00081)
PA01819,Flew to Taipei on 2025-11-21 (Flight FL00235)
PA01820,Flew to London on 2025-11-20 (Flight FL00045)
PA01821,Flew to Seoul on 2025-11-21 (Flight FL00030)
PA01822,Flew to Phu Quoc on 2025-11-21 (Flight FL00085)
PA01823,Flew to Singapore on 2025-11-19 (Flight FL00097)
PA01824,Flew to Phu Quoc on 2025-11-20 (Flight FL00035)
PA01825,Flew to Taipei on 2025-11-21 (Flight FL00109)
PA01826,Flew to Melbourne on 2025-11-20 (Flight FL00076)
PA01827,Flew to Melbourne on 2025-11-21 (Flight FL00134)
PA01828,Flew to Hong Kong on 2025-11-20 (Flight FL00081)
PA01829,Flew to Hanoi on 2025-11-21 (Flight FL00071)
PA01830,Flew to Paris on 2025-11-21 (Flight FL00227)
PA01831,Flew to Phu Quoc on 2025-11-20 (Flight FL00026)
PA01832,Flew to Melbourne on 2025-11-20 (Flight FL00257)
PA01833,Flew to Singapore on 2025-11-20 (Flight FL00172)
PA01834,Flew to Taipei on 2025-11-21 (Flight FL00181)
PA01835,Flew to London on 2025-11-21 (Flight FL00116)
PA01836,Flew to Taipei on 2025-11-21 (Flight FL00235)
PA01837,Flew to Hong Kong on 2025-11-20 (Flight FL00050)
PA01838,Flew to Phu Quoc on 2025-11-20 (Flight FL00083)
PA01839,Flew to Hong Kong on 2025-11-20 (Flight FL00217)
PA01840,Flew to Taipei on 2025-11-21 (Flight FL00164)
PA01841,Flew to Phu Quoc on 2025-11-20 (Flight FL00051)
PA01842,Flew to Tokyo on 2025-11-21 (Flight FL00101)
PA01843,Flew to Hong Kong on 2025-11-20 (Flight FL00203)
PA01844,Flew to Hanoi on 2025-11-21 (Flight FL00251)
PA01845,Flew to Sydney on 2025-11-20 (Flight FL00043)
PA01846,Flew to Dubai on 2025-11-20 (Flight FL00053)
PA01847,Flew to Phu Quoc on 2025-11-21 (Flight FL00125)
PA01848,Flew to Tokyo on 2025-11-21 (Flight FL00220)
PA01849,Flew to Dubai on 2025-11-21 (Flight FL00258)
PA01850,Flew to Sydney on 2025-11-20 (Flight FL00003)
PA01851,Flew to Phu Quoc on 2025-11-20 (Flight FL00249)
PA01852,Flew to London on 2025-11-20 (Flight FL00045)
PA01853,Flew to Phu Quoc on 2025-11-21 (Flight FL00354)
PA01854,Flew to Paris on 2025-11-21 (Flight FL00059)
PA01855,Flew to Melbourne on 2025-11-21 (Flight FL00252)
PA01856,Flew to Tokyo on 2025-11-21 (Flight FL00197)
PA01857,Flew to Sydney on 2025-11-20 (Flight FL00114)
PA01858,Flew to Tokyo on 2025-11-21 (Flight FL00060)
PA01859,Flew to Taipei on 2025-11-20 (Flight FL00219)
PA01860,Flew to Sydney on 2025-11-21 (Flight FL00369)
PA01861,Flew to Singapore on 2025-11-21 (Flight FL00036)
PA01862,Flew to Paris on 2025-11-20 (Flight FL00091)
PA01863,Flew to Phu Quoc on 2025-11-21 (Flight FL00085)
PA01864,Flew to Sydney on 2025-11-20 (Flight FL00098)
PA01865,Flew to Seoul on 2025-11-20 (Flight FL00195)
PA01866,Flew to Phu Quoc on 2025-11-20 (Flight FL00057)
PA01867,Flew to Seoul on 2025-11-21 (Flight FL00014)
PA01868,Flew to Paris on 2025-11-21 (Flight FL00227)
PA01869,Flew to London on 2025-11-21 (Flight FL00028)
PA01870,Flew to Paris on 2025-11-21 (Flight FL00338)
PA01871,Flew to Hong Kong on 2025-11-20 (Flight FL00050)
PA01872,Flew to London on 2025-11-20 (Flight FL00187)
PA01873,Flew to Hanoi on 2025-11-19 (Flight FL00033)
PA01874,Flew to Tokyo on 2025-11-21 (Flight FL00069)
PA01875,Flew to Hong Kong on 2025-11-20 (Flight FL00138)
PA01876,Flew to Sydney on 2025-11-21 (Flight FL00266)
PA01877,Flew to Da Nang on 2025-11-21 (Flight FL00206)
PA01878,Flew to Paris on 2025-11-20 (Flight FL00273)
PA01879,Flew to Sydney on 2025-11-21 (Flight FL00180)
PA01880,Flew to Sydney on 2025-11-21 (Flight FL00259)
PA01881,Flew to Phu Quoc on 2025-11-21 (Flight FL00313)
PA01882,Flew to Phu Quoc on 2025-11-20 (Flight FL00225)
PA01883,Flew to Phu Quoc on 2025-11-21 (Flight FL00330)
PA01884,Flew to Seoul on 2025-11-22 (Flight FL00307)
PA01885,Flew to Paris on 2025-11-20 (Flight FL00122)
PA01886,Flew to Tokyo on 2025-11-21 (Flight FL00060)
PA01887,Flew to Taipei on 2025-11-21 (Flight FL00005)
PA01888,Flew to Singapore on 2025-11-19 (Flight FL00097)
PA01889,Flew to Tokyo on 2025-11-21 (Flight FL00069)
PA01890,Flew to Singapore on 2025-11-21 (Flight FL00291)
PA01891,Flew to Singapore on 2025-11-21 (Flight FL00078)
PA01892,Flew to Taipei on 2025-11-21 (Flight FL00005)
PA01893,Flew to London on 2025-11-21 (Flight FL00141)
PA01894,Flew to Melbourne on 2025-11-21 (Flight FL00385)
PA01895,Flew to Sydney on 2025-11-19 (Flight FL00113)
PA01896,Flew to Taipei on 2025-11-21 (Flight FL00109)
PA01897,Flew to Hong Kong on 2025-11-20 (Flight FL00081)
PA01898,Flew to London on 2025-11-21 (Flight FL00021)
PA01899,Flew to Dubai on 2025-11-21 (Flight FL00258)
PA01900,Flew to Hong Kong on 2025-11-21 (Flight FL00229)
PA01901,Flew to Dubai on 2025-11-21 (Flight FL00258)
PA01902,Flew to Paris on 2025-11-21 (Flight FL00243)
PA01903,Flew to Phu Quoc on 2025-11-20 (Flight FL00083)
PA01904,Flew to Melbourne on 2025-11-21 (Flight FL00205)
PA01905,Flew to London on 2025-11-21 (Flight FL00046)
PA01906,Flew to Bangkok on 2025-11-21 (Flight FL00250)
PA01907,Flew to Tokyo on 2025-11-20 (Flight FL00027)
PA01908,Flew to Taipei on 2025-11-19 (Flight FL00185)
PA01909,Flew to Dubai on 2025-11-20 (Flight FL00034)
PA01910,Flew to London on 2025-11-21 (Flight FL00021)
PA01911,Flew to Paris on 2025-11-21 (Flight FL00346)
PA01912,Flew to Hong Kong on 2025-11-21 (Flight FL00189)
PA01913,Flew to Dubai on 2025-11-21 (Flight FL00174)
PA01914,Flew to Phu Quoc on 2025-11-21 (Flight FL00125)
PA01915,Flew to Tokyo on 2025-11-20 (Flight FL00233)
PA01916,Flew to Dubai on 2025-11-20 (Flight FL00121)
PA01917,Flew to Singapore on 2025-11-21 (Flight FL00047)
PA01918,Flew to Taipei on 2025-11-21 (Flight FL00164)
PA01919,Flew to Phu Quoc on 2025-11-20 (Flight FL00066)
PA01920,Flew to London on 2025-11-21 (Flight FL00141)
PA01921,Flew to Bangkok on 2025-11-20 (Flight FL00065)
PA01922,Flew to Phu Quoc on 2025-11-21 (Flight FL00085)
PA01923,Flew to Da Nang on 2025-11-20 (Flight FL00139)
PA01924,Flew to Taipei on 2025-11-21 (Flight FL00005)
PA01925,Flew to Melbourne on 2025-11-21 (Flight FL00385)
PA01926,Flew to Hanoi on 2025-11-20 (Flight FL00019)
PA01927,Flew to Phu Quoc on 2025-11-20 (Flight FL00066)
PA01928,Flew to Dubai on 2025-11-20 (Flight FL00106)
PA01929,Flew to London on 2025-11-21 (Flight FL00141)
PA01930,Flew to Tokyo on 2025-11-21 (Flight FL00144)
PA01931,Flew to Tokyo on 2025-11-21 (Flight FL00054)
PA01932,Flew to Taipei on 2025-11-21 (Flight FL00070)
PA01933,Flew to Melbourne on 2025-11-21 (Flight FL00228)
PA01934,Flew to Tokyo on 2025-11-20 (Flight FL00027)
PA01935,Flew to Seoul on 2025-11-21 (Flight FL00150)
PA01936,Flew to Paris on 2025-11-20 (Flight FL00122)
PA01937,Flew to Sydney on 2025-11-20 (Flight FL00043)
PA01938,Flew to Dubai on 2025-11-21 (Flight FL00237)
PA01939,Flew to Bangkok on 2025-11-20 (Flight FL00065)
PA01940,Flew to Hanoi on 2025-11-19 (Flight FL00009)
PA01941,Flew to Hong Kong on 2025-11-20 (Flight FL00138)
PA01942,Flew to Tokyo on 2025-11-21 (Flight FL00060)
PA01943,Flew to Singapore on 2025-11-20 (Flight FL00010)
PA01944,Flew to London on 2025-11-21 (Flight FL00282)
PA01945,Flew to Dubai on 2025-11-20 (Flight FL00053)
PA01946,Flew to Phu Quoc on 2025-11-20 (Flight FL00026)
PA01947,Flew to London on 2025-11-20 (Flight FL00131)
PA01948,Flew to Seoul on 2025-11-21 (Flight FL00014)
PA01949,Flew to Hanoi on 2025-11-21 (Flight FL00196)
PA01950,Flew to Hong Kong on 2025-11-21 (Flight FL00229)
PA01951,Flew to Sydney on 2025-11-21 (Flight FL00369)
PA01952,Flew to Tokyo on 2025-11-20 (Flight FL00233)
PA01953,Flew to Paris on 2025-11-21 (Flight FL00243)
PA01954,Flew to Singapore on 2025-11-20 (Flight FL00089)
PA01955,Flew to London on 2025-11-19 (Flight FL00137)
PA01956,Flew to Hong Kong on 2025-11-20 (Flight FL00138)
PA01957,Flew to Hong Kong on 2025-11-21 (Flight FL00015)
PA01958,Flew to Tokyo on 2025-11-21 (Flight FL00060)
PA01959,Flew to Hanoi on 2025-11-20 (Flight FL00129)
PA01960,Flew to Dubai on 2025-11-20 (Flight FL00053)
PA01961,Flew to Seoul on 2025-11-20 (Flight FL00179)
PA01962,Flew to Bangkok on 2025-11-21 (Flight FL00190)
PA01963,Flew to Singapore on 2025-11-20 (Flight FL00089)
PA01964,Flew to Hanoi on 2025-11-20 (Flight FL00099)
PA01965,Flew to Da Nang on 2025-11-20 (Flight FL00107)
PA01966,Flew to Phu Quoc on 2025-11-21 (Flight FL00016)
PA01967,Flew to Sydney on 2025-11-21 (Flight FL00180)
PA01968,Flew to Bangkok on 2025-11-20 (Flight FL00052)
PA01969,Flew to London on 2025-11-21 (Flight FL00282)
PA01970,Flew to Sydney on 2025-11-21 (Flight FL00079)
PA01971,Flew to Melbourne on 2025-11-21 (Flight FL00134)
PA01972,Flew to Hanoi on 2025-11-19 (Flight FL00033)
PA01973,Flew to Tokyo on 2025-11-20 (Flight FL00170)
PA01974,Flew to Bangkok on 2025-11-20 (Flight FL00186)
PA01975,Flew to Hong Kong on 2025-11-20 (Flight FL00171)
PA01976,Flew to Paris on 2025-11-21 (Flight FL00361)
PA01977,Flew to Da Nang on 2025-11-20 (Flight FL00012)
PA01978,Flew to Hong Kong on 2025-11-20 (Flight FL00050)
PA01979,Flew to Tokyo on 2025-11-20 (Flight FL00170)
PA01980,Flew to Tokyo on 2025-11-21 (Flight FL00155)
PA01981,Flew to Sydney on 2025-11-21 (Flight FL00055)
PA01982,Flew to Phu Quoc on 2025-11-21 (Flight FL00283)
PA01983,Flew to Paris on 2025-11-21 (Flight FL00227)
PA01984,Flew to Melbourne on 2025-11-21 (Flight FL00205)
PA01985,Flew to Tokyo on 2025-11-19 (Flight FL00201)
PA01986,Flew to Phu Quoc on 2025-11-20 (Flight FL00105)
PA01987,Flew to Phu Quoc on 2025-11-21 (Flight FL00313)
PA01988,Flew to Da Nang on 2025-11-21 (Flight FL00329)
PA01989,Flew to Phu Quoc on 2025-11-21 (Flight FL00108)
PA01990,Flew to Hanoi on 2025-11-20 (Flight FL00019)
PA01991,Flew to Da Nang on 2025-11-21 (Flight FL00329)
PA01992,Flew to Tokyo on 2025-11-20 (Flight FL00082)
PA01993,Flew to Melbourne on 2025-11-21 (Flight FL00205)
PA01994,Flew to Bangkok on 2025-11-21 (Flight FL00250)
PA01995,Flew to Bangkok on 2025-11-20 (Flight FL00186)
PA01996,Flew to Bangkok on 2025-11-20 (Flight FL00052)
PA01997,Flew to Melbourne on 2025-11-21 (Flight FL00228)
PA01998,Flew to Seoul on 2025-11-21 (Flight FL00150)
PA01999,Flew to Phu Quoc on 2025-11-20 (Flight FL00249)
PA02000,Flew to Bangkok on 2025-11-21 (Flight FL00353)
PA02001,Flew to Paris on 2025-11-20 (Flight FL00042)
PA02002,Flew to Bangkok on 2025-11-20 (Flight FL00052)
PA02003,Flew to Da Nang on 2025-11-20 (Flight FL00194)
PA02004,Flew to Hanoi on 2025-11-21 (Flight FL00251)
PA02005,Flew to Dubai on 2025-11-20 (Flight FL00121)
PA02006,Flew to Sydney on 2025-11-21 (Flight FL00055)
PA02007,Flew to Paris on 2025-11-20 (Flight FL00273)
PA02008,Flew to Dubai on 2025-11-20 (Flight FL00145)
PA02009,Flew to Hanoi on 2025-11-20 (Flight FL00099)
PA02010,Flew to Dubai on 2025-11-21 (Flight FL00048)
PA02011,Flew to Singapore on 2025-11-21 (Flight FL00036)
PA02012,Flew to Singapore on 2025-11-20 (Flight FL00210)
PA02013,Flew to Tokyo on 2025-11-20 (Flight FL00233)
PA02014,Flew to Hanoi on 2025-11-21 (Flight FL00196)
PA02015,Flew to Da Nang on 2025-11-20 (Flight FL00012)
PA02016,Flew to Dubai on 2025-11-21 (Flight FL00267)
PA02017,Flew to Bangkok on 2025-11-21 (Flight FL00299)
PA02018,Flew to Phu Quoc on 2025-11-21 (Flight FL00283)
PA02019,Flew to Paris on 2025-11-21 (Flight FL00236)
PA02020,Flew to Melbourne on 2025-11-21 (Flight FL00143)
PA02021,Flew to Sydney on 2025-11-21 (Flight FL00306)
PA02022,Flew to Paris on 2025-11-21 (Flight FL00346)
PA02023,Flew to Dubai on 2025-11-20 (Flight FL00106)
PA02024,Flew to Seoul on 2025-11-21 (Flight FL00150)
PA02025,Flew to London on 2025-11-21 (Flight FL00116)
PA02026,Flew to Bangkok on 2025-11-20 (Flight FL00067)
PA02027,Flew to Phu Quoc on 2025-11-21 (Flight FL00085)
PA02028,Flew to Paris on 2025-11-21 (Flight FL00346)
PA02029,Flew to Taipei on 2025-11-21 (Flight FL00298)
PA02030,Flew to Sydney on 2025-11-21 (Flight FL00004)
PA02031,Flew to Tokyo on 2025-11-21 (Flight FL00069)
PA02032,Flew to Taipei on 2025-11-19 (Flight FL00185)
PA02033,Flew to Singapore on 2025-11-21 (Flight FL00047)
PA02034,Flew to Sydney on 2025-11-21 (Flight FL00180)
PA02035,Flew to Phu Quoc on 2025-11-21 (Flight FL00085)
PA02036,Flew to Da Nang on 2025-11-20 (Flight FL00090)
PA02037,Flew to Paris on 2025-11-21 (Flight FL00346)
PA02038,Flew to Sydney on 2025-11-21 (Flight FL00055)
PA02039,Flew to Phu Quoc on 2025-11-20 (Flight FL00057)
PA02040,Flew to Bangkok on 2025-11-21 (Flight FL00077)
PA02041,Flew to Singapore on 2025-11-21 (Flight FL00047)
PA02042,Flew to Seoul on 2025-11-21 (Flight FL00150)
PA02043,Flew to Tokyo on 2025-11-20 (Flight FL00234)
PA02044,Flew to London on 2025-11-21 (Flight FL00297)
PA02045,Flew to Hong Kong on 2025-11-19 (Flight FL00001)
PA02046,Flew to Melbourne on 2025-11-21 (Flight FL00205)
PA02047,Flew to Hong Kong on 2025-11-19 (Flight FL00161)
PA02048,Flew to Tokyo on 2025-11-21 (Flight FL00220)
PA02049,Flew to Taipei on 2025-11-21 (Flight FL00005)
PA02050,Flew to Taipei on 2025-11-21 (Flight FL00321)
PA02051,Flew to Paris on 2025-11-20 (Flight FL00042)
PA02052,Flew to Dubai on 2025-11-20 (Flight FL00013)
PA02053,Flew to Paris on 2025-11-21 (Flight FL00084)
PA02054,Flew to Paris on 2025-11-21 (Flight FL00086)
PA02055,Flew to Hong Kong on 2025-11-20 (Flight FL00209)
PA02056,Flew to Paris on 2025-11-20 (Flight FL00273)
PA02057,Flew to Seoul on 2025-11-21 (Flight FL00030)
PA02058,Flew to Melbourne on 2025-11-20 (Flight FL00076)
PA02059,Flew to Phu Quoc on 2025-11-21 (Flight FL00330)
PA02060,Flew to Singapore on 2025-11-20 (Flight FL00210)
PA02061,Flew to Sydney on 2025-11-20 (Flight FL00074)
PA02062,Flew to Phu Quoc on 2025-11-21 (Flight FL00313)
PA02063,Flew to Hong Kong on 2025-11-20 (Flight FL00171)
PA02064,Flew to Phu Quoc on 2025-11-20 (Flight FL00083)
PA02065,Flew to Dubai on 2025-11-20 (Flight FL00106)
PA02066,Flew to Tokyo on 2025-11-21 (Flight FL00060)
PA02067,Flew to Paris on 2025-11-21 (Flight FL00346)
PA02068,Flew to Taipei on 2025-11-20 (Flight FL00219)
PA02069,Flew to Dubai on 2025-11-21 (Flight FL00149)
PA02070,Flew to Da Nang on 2025-11-20 (Flight FL00211)
PA02071,Flew to Dubai on 2025-11-20 (Flight FL00013)
PA02072,Flew to Singapore on 2025-11-20 (Flight FL00010)
PA02073,Flew to Phu Quoc on 2025-11-21 (Flight FL00016)
PA02074,Flew to Tokyo on 2025-11-20 (Flight FL00234)
PA02075,Flew to Bangkok on 2025-11-21 (Flight FL00345)
PA02076,Flew to Bangkok on 2025-11-20 (Flight FL00162)
PA02077,Flew to Da Nang on 2025-11-21 (Flight FL00133)
PA02078,Flew to Sydney on 2025-11-21 (Flight FL00306)
PA02079,Flew to Singapore on 2025-11-21 (Flight FL00078)
PA02080,Flew to Sydney on 2025-11-21 (Flight FL00004)
PA02081,Flew to London on 2025-11-19 (Flight FL00137)
PA02082,Flew to Seoul on 2025-11-21 (Flight FL00150)
PA02083,Flew to Bangkok on 2025-11-20 (Flight FL00186)
PA02084,Flew to Singapore on 2025-11-20 (Flight FL00115)
PA02085,Flew to London on 2025-11-20 (Flight FL00002)
PA02086,Flew to Dubai on 2025-11-20 (Flight FL00121)
PA02087,Flew to Hong Kong on 2025-11-19 (Flight FL00001)
PA02088,Flew to Hanoi on 2025-11-21 (Flight FL00071)
PA02089,Flew to Da Nang on 2025-11-19 (Flight FL00073)
PA02090,Flew to Dubai on 2025-11-21 (Flight FL00061)
PA02091,Flew to Paris on 2025-11-21 (Flight FL00338)
PA02092,Flew to Phu Quoc on 2025-11-22 (Flight FL00007)
PA02093,Flew to Dubai on 2025-11-20 (Flight FL00106)
PA02094,Flew to Paris on 2025-11-21 (Flight FL00084)
PA02095,Flew to Singapore on 2025-11-21 (Flight FL00078)
PA02096,Flew to Da Nang on 2025-11-21 (Flight FL00133)
PA02097,Flew to Da Nang on 2025-11-20 (Flight FL00041)
PA02098,Flew to Paris on 2025-11-21 (Flight FL00086)
PA02099,Flew to Singapore on 2025-11-20 (Flight FL00089)
PA02100,Flew to Bangkok on 2025-11-21 (Flight FL00182)
PA02101,Flew to Phu Quoc on 2025-11-20 (Flight FL00154)
PA02102,Flew to Da Nang on 2025-11-19 (Flight FL00025)
PA02103,Flew to Hong Kong on 2025-11-20 (Flight FL00203)
PA02104,Flew to Singapore on 2025-11-21 (Flight FL00078)
PA02105,Flew to Hong Kong on 2025-11-21 (Flight FL00189)
PA02106,Flew to Tokyo on 2025-11-21 (Flight FL00069)
PA02107,Flew to Bangkok on 2025-11-21 (Flight FL00250)
PA02108,Flew to London on 2025-11-21 (Flight FL00021)
PA02109,Flew to Hanoi on 2025-11-19 (Flight FL00009)
PA02110,Flew to Melbourne on 2025-11-21 (Flight FL00205)
PA02111,Flew to Dubai on 2025-11-20 (Flight FL00145)
PA02112,Flew to Hanoi on 2025-11-19 (Flight FL00033)
PA02113,Flew to Phu Quoc on 2025-11-21 (Flight FL00377)
PA02114,Flew to Phu Quoc on 2025-11-20 (Flight FL00051)
PA02115,Flew to Phu Quoc on 2025-11-21 (Flight FL00354)
PA02116,Flew to Da Nang on 2025-11-19 (Flight FL00073)
PA02117,Flew to Dubai on 2025-11-20 (Flight FL00053)
PA02118,Flew to Hong Kong on 2025-11-19 (Flight FL00161)
PA02119,Flew to Taipei on 2025-11-21 (Flight FL00070)
PA02120,Flew to Singapore on 2025-11-20 (Flight FL00010)
PA02121,Flew to Sydney on 2025-11-21 (Flight FL00180)
PA02122,Flew to Paris on 2025-11-21 (Flight FL00289)
PA02123,Flew to Dubai on 2025-11-20 (Flight FL00013)
PA02124,Flew to Phu Quoc on 2025-11-20 (Flight FL00035)
PA02125,Flew to Phu Quoc on 2025-11-21 (Flight FL00165)
PA02126,Flew to Da Nang on 2025-11-20 (Flight FL00211)
PA02127,Flew to Phu Quoc on 2025-11-21 (Flight FL00173)
PA02128,Flew to London on 2025-11-21 (Flight FL00046)
PA02129,Flew to Melbourne on 2025-11-21 (Flight FL00143)
PA02130,Flew to Singapore on 2025-11-21 (Flight FL00006)
PA02131,Flew to Hong Kong on 2025-11-21 (Flight FL00305)
PA02132,Flew to Da Nang on 2025-11-21 (Flight FL00329)
PA02133,Flew to Singapore on 2025-11-21 (Flight FL00291)
PA02134,Flew to Hong Kong on 2025-11-21 (Flight FL00305)
PA02135,Flew to Sydney on 2025-11-21 (Flight FL00266)
PA02136,Flew to Paris on 2025-11-20 (Flight FL00091)
PA02137,Flew to Taipei on 2025-11-21 (Flight FL00298)
PA02138,Flew to Sydney on 2025-11-21 (Flight FL00212)
PA02139,Flew to Melbourne on 2025-11-20 (Flight FL00218)
PA02140,Flew to Sydney on 2025-11-21 (Flight FL00004)
PA02141,Flew to Melbourne on 2025-11-21 (Flight FL00143)
PA02142,Flew to Taipei on 2025-11-21 (Flight FL00164)
PA02143,Flew to Taipei on 2025-11-21 (Flight FL00298)
PA02144,Flew to Sydney on 2025-11-21 (Flight FL00221)
PA02145,Flew to Taipei on 2025-11-19 (Flight FL00185)
PA02146,Flew to Bangkok on 2025-11-21 (Flight FL00100)
PA02147,Flew to Phu Quoc on 2025-11-21 (Flight FL00377)
PA02148,Flew to Paris on 2025-11-21 (Flight FL00059)
PA02149,Flew to Phu Quoc on 2025-11-21 (Flight FL00173)
PA02150,Flew to Phu Quoc on 2025-11-21 (Flight FL00085)
PA02151,Flew to Tokyo on 2025-11-21 (Flight FL00054)
PA02152,Flew to Sydney on 2025-11-19 (Flight FL00113)
PA02153,Flew to Singapore on 2025-11-20 (Flight FL00115)
PA02154,Flew to Singapore on 2025-11-21 (Flight FL00157)
PA02155,Flew to Tokyo on 2025-11-21 (Flight FL00155)
PA02156,Flew to Da Nang on 2025-11-20 (Flight FL00139)
PA02157,Flew to Hanoi on 2025-11-21 (Flight FL00251)
PA02158,Flew to Sydney on 2025-11-21 (Flight FL00306)
PA02159,Flew to Bangkok on 2025-11-21 (Flight FL00250)
PA02160,Flew to Tokyo on 2025-11-21 (Flight FL00197)
PA02161,Flew to Da Nang on 2025-11-20 (Flight FL00107)
PA02162,Flew to Bangkok on 2025-11-21 (Flight FL00100)
PA02163,Flew to Bangkok on 2025-11-20 (Flight FL00067)
PA02164,Flew to Da Nang on 2025-11-21 (Flight FL00148)
PA02165,Flew to Da Nang on 2025-11-19 (Flight FL00073)
PA02166,Flew to Seoul on 2025-11-20 (Flight FL00204)
PA02167,Flew to London on 2025-11-21 (Flight FL00046)
PA02168,Flew to Hong Kong on 2025-11-21 (Flight FL00015)
PA02169,Flew to Bangkok on 2025-11-21 (Flight FL00353)
PA02170,Flew to Seoul on 2025-11-20 (Flight FL00018)
PA02171,Flew to Paris on 2025-11-21 (Flight FL00059)
PA02172,Flew to Tokyo on 2025-11-19 (Flight FL00201)
PA02173,Flew to London on 2025-11-21 (Flight FL00282)
PA02174,Flew to Bangkok on 2025-11-21 (Flight FL00299)
PA02175,Flew to Da Nang on 2025-11-20 (Flight FL00194)
PA02176,Flew to Bangkok on 2025-11-20 (Flight FL00067)
PA02177,Flew to Tokyo on 2025-11-20 (Flight FL00082)
PA02178,Flew to Hong Kong on 2025-11-21 (Flight FL00015)
PA02179,Flew to Melbourne on 2025-11-21 (Flight FL00385)
PA02180,Flew to Dubai on 2025-11-21 (Flight FL00242)
PA02181,Flew to Seoul on 2025-11-20 (Flight FL00163)
PA02182,Flew to Dubai on 2025-11-20 (Flight FL00013)
PA02183,Flew to Paris on 2025-11-21 (Flight FL00361)
PA02184,Flew to Seoul on 2025-11-20 (Flight FL00147)
PA02185,Flew to Melbourne on 2025-11-20 (Flight FL00218)
PA02186,Flew to Melbourne on 2025-11-21 (Flight FL00143)
PA02187,Flew to London on 2025-11-21 (Flight FL00046)
PA02188,Flew to Seoul on 2025-11-19 (Flight FL00017)
PA02189,Flew to Taipei on 2025-11-21 (Flight FL00164)
PA02190,Flew to Taipei on 2025-11-20 (Flight FL00219)
PA02191,Flew to Hong Kong on 2025-11-20 (Flight FL00171)
PA02192,Flew to Hong Kong on 2025-11-21 (Flight FL00274)
PA02193,Flew to Hong Kong on 2025-11-19 (Flight FL00001)
PA02194,Flew to Da Nang on 2025-11-20 (Flight FL00194)
PA02195,Flew to Taipei on 2025-11-21 (Flight FL00181)
PA02196,Flew to Seoul on 2025-11-19 (Flight FL00017)
PA02197,Flew to Paris on 2025-11-20 (Flight FL00042)
PA02198,Flew to Dubai on 2025-11-21 (Flight FL00048)
PA02199,Flew to Sydney on 2025-11-20 (Flight FL00003)
PA02200,Flew to Singapore on 2025-11-21 (Flight FL00036)
PA02201,Flew to Paris on 2025-11-21 (Flight FL00289)
PA02202,Flew to Phu Quoc on 2025-11-20 (Flight FL00051)
PA02203,Flew to Paris on 2025-11-21 (Flight FL00236)
PA02204,Flew to Sydney on 2025-11-21 (Flight FL00266)
PA02205,Flew to Phu Quoc on 2025-11-20 (Flight FL00225)
PA02206,Flew to Hong Kong on 2025-11-19 (Flight FL00161)
PA02207,Flew to Hanoi on 2025-11-21 (Flight FL00071)
PA02208,Flew to Singapore on 2025-11-20 (Flight FL00010)
PA02209,Flew to Phu Quoc on 2025-11-21 (Flight FL00377)
PA02210,Flew to Hong Kong on 2025-11-19 (Flight FL00161)
PA02211,Flew to Phu Quoc on 2025-11-20 (Flight FL00051)
PA02212,Flew to Singapore on 2025-11-19 (Flight FL00097)
PA02213,Flew to Sydney on 2025-11-21 (Flight FL00290)
PA02214,Flew to Phu Quoc on 2025-11-22 (Flight FL00007)
PA02215,Flew to Bangkok on 2025-11-20 (Flight FL00186)
PA02216,Flew to Sydney on 2025-11-21 (Flight FL00290)
PA02217,Flew to Dubai on 2025-11-20 (Flight FL00058)
PA02218,Flew to Da Nang on 2025-11-21 (Flight FL00092)
PA02219,Flew to Bangkok on 2025-11-21 (Flight FL00182)
PA02220,Flew to Paris on 2025-11-21 (Flight FL00361)
PA02221,Flew to Da Nang on 2025-11-21 (Flight FL00329)
PA02222,Flew to Tokyo on 2025-11-21 (Flight FL00197)
PA02223,Flew to Hong Kong on 2025-11-20 (Flight FL00068)
PA02224,Flew to Melbourne on 2025-11-20 (Flight FL00226)
PA02225,Flew to Taipei on 2025-11-21 (Flight FL00109)
PA02226,Flew to Seoul on 2025-11-20 (Flight FL00049)
PA02227,Flew to Paris on 2025-11-21 (Flight FL00059)
PA02228,Flew to Seoul on 2025-11-20 (Flight FL00195)
PA02229,Flew to Sydney on 2025-11-21 (Flight FL00079)
PA02230,Flew to Hong Kong on 2025-11-19 (Flight FL00001)
PA02231,Flew to Sydney on 2025-11-20 (Flight FL00003)
PA02232,Flew to Bangkok on 2025-11-20 (Flight FL00065)
PA02233,Flew to Singapore on 2025-11-20 (Flight FL00010)
PA02234,Flew to Bangkok on 2025-11-21 (Flight FL00299)
PA02235,Flew to Da Nang on 2025-11-20 (Flight FL00107)
PA02236,Flew to Hanoi on 2025-11-21 (Flight FL00196)
